TeamName,Team_ID,Team_Abbreviation
        Arsenal,3,        ARS
        Bournemouth,91,        BOU
        Brighton,36,        BHA
        Burnley,90,        BUR
        Cardiff,97,        CAR
        Chelsea,8,        CHE
        Crystal Palace,31,        CRY
        Everton,11,        EVE
        Fulham,54,        FUL
        Huddersfield,38,        HUD
        Leicester,13,        LEI
        Liverpool,14,        LIV
        Man City,43,        MCI
        Man Utd,1,        MUN
        Newcastle,4,        NEW
        Southampton,20,        SOU
        Spurs,6,        TOT
        Watford,57,        WAT
        West Ham,21,        WHU
        Wolves,39,        WOL
